Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,2,424,9157,1.0236108856965398,1.0234513935162632,189,4071,4071,1.0,0.9295810142744285,0.8425039100210264,0.8135028407325914
diffusion_distance_similarity,ml-100k/u.data,4,217,8268,1.002901453636414,1.015280882688365,188,4101,4101,1.0,0.9411558388425254,0.823061488381919,0.8051222775831017
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8210,1.0106482504311607,1.0280178692043567,188,4101,4101,1.0,0.9369128663734823,0.8305008877483055,0.8168364946263322
diffusion_distance_similarity,ml-100k/u.data,1,160,8268,0.985627564033577,0.9905306181062112,189,4215,4215,1.0,0.9404530957819675,0.8107325392374415,0.7778074328408966
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8482,0.9907124638871987,1.0011240679663285,189,4215,4215,1.0,0.9372001028951501,0.816880109391856,0.7893833443472511
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8510,1.0039233739215625,1.010875325103332,189,4215,4215,1.0,0.9358009363823749,0.8259391138458697,0.795476970053431
regular_distance_similarity,ml-100k/u.data,4,2,3609,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_distance_similarity,ml-100k/u.data,3,158,8022,0.9619379322623959,0.9591525371861103,188,3586,3586,1.0,0.9452110831271604,0.7990548639196012,0.7673698027381941
regular_distance_similarity,ml-100k/u.data,3,2,3435,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8110,1.017598139975345,1.0339516913365159,188,4101,4101,1.0,0.9384031311944157,0.8365222052405106,0.8232338422565691
regular_distance_similarity,ml-100k/u.data,1,1,3681,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_distance_similarity,ml-100k/u.data,0,160,7942,0.9855221672562069,0.9853827820910102,189,4027,4027,1.0,0.9403598935691349,0.8084682507181304,0.7762923005280215
regular_distance_similarity,ml-100k/u.data,0,1,3476,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7748,0.9831155015948798,0.9829283971619732,188,3586,3586,1.0,0.9412782907982021,0.8153912127275855,0.7872357195137453
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,7703,0.9640466719566972,0.9690975221825867,188,3586,3586,1.0,0.9432394595972681,0.8001918472392934,0.7742344897246516
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8030,0.9896203274712855,0.9957034313380871,189,4027,4027,1.0,0.9387237100186213,0.8104508892616088,0.7858471302311371
regular_distance_similarity,ml-100k/u.data,2,1,3490,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8207,1.0071779494883624,1.0100038927041803,189,4027,4027,1.0,0.9381211116114511,0.8267343133603727,0.8001612738503753
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8156,1.039521942183076,1.042866891498888,189,4071,4071,1.0,0.92941208032975,0.8572221660479579,0.8300493616416251
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8384,1.0266092711859147,1.0309439677273742,189,4071,4071,1.0,0.9311248457832394,0.8456142634387876,0.8182942881178318
