Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,0,428,9093,0.9881160470929082,0.9915718986016345,189,4027,4027,1.0,0.9410632848017773,0.8097318321333868,0.7817354710123695
diffusion_distance_similarity,ml-100k/u.data,4,205,8473,1.0043743884081433,1.0214595538498943,188,4101,4101,1.0,0.939436020160758,0.8252108032880063,0.8115686003618673
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8504,1.0065381842663343,1.0252033970107157,188,4101,4101,1.0,0.9389516635717311,0.8271169087087102,0.8149235970049369
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8184,0.9869067737877456,0.9937911762312436,189,4027,4027,1.0,0.9388236935907472,0.8081628182415294,0.7837439673633373
regular_distance_similarity,ml-100k/u.data,4,2,3713,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_distance_similarity,ml-100k/u.data,1,162,8310,0.9845830985551062,0.9972281361039163,189,4215,4215,1.0,0.9394034457813831,0.8118603330732929,0.7850938397705414
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8218,0.9970960707174458,1.0097152311896207,189,4215,4215,1.0,0.9364149689575001,0.8216459678384468,0.796423987398821
diffusion_distance_similarity,ml-100k/u.data,3,164,7715,0.967152635210145,0.9666515102749231,188,3586,3586,1.0,0.9424123010763148,0.7996669488089025,0.7716143144074539
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,7711,0.9681148350717396,0.9706165536987007,188,3586,3586,1.0,0.9405028358045414,0.8017813240199507,0.7759162511888001
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8058,0.9891955043478202,1.001646171728632,189,4215,4215,1.0,0.9376557551854781,0.8156264054524643,0.7895077278614415
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7668,0.9824187439196403,0.9812275843441666,188,3586,3586,1.0,0.9381912976765495,0.8140308578579938,0.7855048708999628
regular_distance_similarity,ml-100k/u.data,0,1,3470,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,2,167,7983,1.025605547572327,1.02998063287168,189,4071,4071,1.0,0.9290736462324493,0.8447413137118662,0.8178849053536393
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,7967,1.0313212573524602,1.039542756719334,189,4071,4071,1.0,0.9297696501245281,0.8497179203814331,0.8261584004285122
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,7904,1.0007222191654344,1.0057507977285844,189,4027,4027,1.0,0.9373945654307495,0.8211872300001549,0.7947059185577274
regular_distance_similarity,ml-100k/u.data,1,1,3582,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,4,0,7953,1.0186972261180662,1.036394618117015,188,4101,4101,1.0,0.9363151601236596,0.8376359652389904,0.8246118193375628
regular_distance_similarity,ml-100k/u.data,2,1,3513,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,7952,1.0272101625993115,1.0338769491145916,189,4071,4071,1.0,0.9297651762945313,0.8462133540889853,0.8206549834241316
regular_distance_similarity,ml-100k/u.data,3,1,3309,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
