alpha_nL,diffusion_abs_cosine_similarity_RMSE.ByUser_improvement,diffusion_abs_cosine_similarity_RMSE.ByUser_average,diffusion_abs_cosine_similarity_RMSE.ByRating_improvement,diffusion_abs_cosine_similarity_RMSE.ByRating_average,diffusion_abs_cosine_similarity_MAE.ByUser_improvement,diffusion_abs_cosine_similarity_MAE.ByUser_average,diffusion_abs_cosine_similarity_MAE.ByRating_improvement,diffusion_abs_cosine_similarity_MAE.ByRating_average,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.341238526,0.917478624,0.311763644,0.916426064,0.313080889,0.748652147,0.313470011,0.715475969,0.306526953,0.917798186,0.29074736,0.916619265,0.353029227,0.748352134,0.336655693,0.71530956,0.263766532,0.918191847,0.277992163,0.916736523,0.290751206,0.748819844,0.317535509,0.71544679,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
1,0.430727177,0.916654774,0.350723585,0.916067908,0.433644625,0.74774671,0.373055662,0.715048308,0.283727222,0.918008085,0.264653551,0.916859143,0.272880049,0.748954057,0.243606833,0.715977395,0.396239858,0.916972271,0.441729407,0.915231299,0.445792822,0.747655476,0.48829385,0.714221213,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
2,0.451004229,0.916468099,0.379400013,0.915804288,0.449474673,0.747627826,0.392026137,0.714912152,0.172590704,0.91903123,0.0785076,0.918570368,0.162961196,0.749779551,0.031304387,0.717501145,0.523020754,0.915805101,0.638033343,0.913426693,0.613389602,0.746396819,0.724147907,0.712528428,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
3,0.446288057,0.916511517,0.396387295,0.915648126,0.464617741,0.747514101,0.432135925,0.714624273,0.013274352,0.920497929,-0.057768895,0.919823148,-0.017751145,0.751136707,-0.078842243,0.718291696,0.584077096,0.915243004,0.710790562,0.912757841,0.664621373,0.746012066,0.788062841,0.712069694,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
4,0.437010054,0.916596932,0.384074467,0.915761316,0.467533164,0.747492206,0.430897671,0.714633161,-0.087805117,0.921428487,-0.153003244,0.920698629,-0.117551842,0.751886214,-0.162463892,0.71889187,0.638576548,0.914741271,0.748216192,0.91241379,0.724840132,0.745559822,0.828476172,0.711779637,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
5,0.429688398,0.916664337,0.393326663,0.915676262,0.471074031,0.747465614,0.447420621,0.714514571,-0.14309243,0.921937473,-0.201827704,0.921147469,-0.182754099,0.752375885,-0.203383213,0.719185558,0.650086704,0.914635306,0.738583822,0.91250234,0.72404982,0.745565757,0.815117765,0.711875514,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
6,0.430286085,0.916658835,0.38566121,0.91574673,0.463677187,0.747521164,0.434775739,0.714605327,-0.214013954,0.922590391,-0.243142839,0.921527276,-0.252432816,0.752899175,-0.262547283,0.719610194,0.618784184,0.914923483,0.700153068,0.912855631,0.693313655,0.745796586,0.788101787,0.712069414,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
7,0.539580245,0.915652651,0.431569147,0.915324702,0.534735582,0.746987513,0.448309213,0.714508193,-0.278651995,0.923185461,-0.31055288,0.922146971,-0.334601537,0.753516264,-0.336403314,0.720140278,0.649562062,0.914640136,0.676072639,0.913077,0.668478555,0.745983099,0.73124972,0.712477456,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
8,0.527954384,0.915759681,0.418466686,0.915445152,0.522971447,0.747075862,0.445231776,0.714530281,-0.321741548,0.923582152,-0.366522011,0.92266149,-0.370394504,0.753785071,-0.394086032,0.720554282,0.580671121,0.91527436,0.606184351,0.913719478,0.585202427,0.746608505,0.668824152,0.712925501,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
9,0.524207124,0.915794179,0.419244838,0.915437998,0.506169585,0.747202045,0.437768523,0.714583847,-0.355447208,0.923892454,-0.398938622,0.922959494,-0.402409825,0.754025507,-0.428553129,0.720801661,0.533648228,0.915707262,0.510150646,0.914602308,0.525923085,0.747053695,0.564465029,0.713674513,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
