alpha_nL,diffusion_abs_cosine_similarity_RMSE.ByUser_improvement,diffusion_abs_cosine_similarity_RMSE.ByUser_average,diffusion_abs_cosine_similarity_RMSE.ByRating_improvement,diffusion_abs_cosine_similarity_RMSE.ByRating_average,diffusion_abs_cosine_similarity_MAE.ByUser_improvement,diffusion_abs_cosine_similarity_MAE.ByUser_average,diffusion_abs_cosine_similarity_MAE.ByRating_improvement,diffusion_abs_cosine_similarity_MAE.ByRating_average,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.251299308,0.918306623,0.159005731,0.917830356,0.221680951,0.749338564,0.149682783,0.716651512,0.126391637,0.919456548,0.064348024,0.918700536,0.122623771,0.750082487,0.039011177,0.717445831,0.37290055,0.917187137,0.346389924,0.916107747,0.429388811,0.747778671,0.40331775,0.714831109,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
1,0.213488092,0.918654721,0.090834511,0.918457048,0.191245629,0.749567134,0.058533017,0.717305718,0.013124074,0.920499312,-0.118946706,0.92038555,-0.062763206,0.751474749,-0.217867634,0.719289517,0.533449942,0.915709087,0.54276881,0.914302452,0.60269672,0.746477123,0.617821829,0.713291558,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
2,0.196438441,0.918811683,-0.031771598,0.919584156,0.151261492,0.749867417,-0.100592667,0.718447804,-0.163193099,0.922122523,-0.409200986,0.923053835,-0.31940555,0.753402142,-0.631803445,0.722260441,0.681665616,0.914344584,0.696546458,0.912888786,0.795726124,0.745027465,0.799395458,0.711988357,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
3,0.181623234,0.918948075,-0.080544391,0.920032521,0.077690324,0.750419939,-0.195605099,0.719129733,-0.248216387,0.922905265,-0.577861106,0.924604314,-0.451562709,0.754394647,-0.864078596,0.72392754,0.784333548,0.913399402,0.771403991,0.912200627,0.880438168,0.744391275,0.862078363,0.711538465,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
4,0.127688264,0.919444611,-0.115662081,0.920355355,0.017880826,0.75086911,-0.244480465,0.719480524,-0.325163574,0.923613656,-0.710153472,0.925820467,-0.551739072,0.755146975,-1.04130069,0.725199508,0.803475688,0.913223176,0.772571736,0.912189892,0.909983315,0.74416939,0.878622828,0.711419722,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
5,0.117498328,0.919538422,-0.141249272,0.920590576,0.009615863,0.75093118,-0.275430601,0.719702661,-0.358708024,0.923922473,-0.795708801,0.926606971,-0.606765828,0.755560228,-1.146191404,0.725952336,0.824584847,0.913028841,0.768942318,0.912223257,0.960669698,0.743788734,0.885693458,0.711368974,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
6,0.117549002,0.919537955,-0.155553605,0.920722075,0.000342843,0.751000821,-0.290628587,0.719811741,-0.28041377,0.923201681,-0.815419203,0.926788167,-0.564716074,0.755244432,-1.192830159,0.726287075,0.812972604,0.913135745,0.7360903,0.912525263,0.958249848,0.743806907,0.876736352,0.711433261,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
7,0.093131641,0.919762746,-0.183149375,0.92097576,-0.021779313,0.751166959,-0.322989496,0.720044004,-0.282693691,0.92322267,-0.850426344,0.927109985,-0.570401869,0.755287133,-1.206817644,0.726387466,0.779196631,0.913446694,0.689103592,0.912957208,0.926670182,0.744044071,0.824534802,0.711807925,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
8,0.196528944,0.91881085,-0.156282044,0.920728771,0.055069334,0.750589823,-0.318617822,0.720012627,-0.307342311,0.92344959,-0.896829669,0.927536567,-0.608596776,0.755573978,-1.260492697,0.726772706,0.761106917,0.913613231,0.66542171,0.913174914,0.894153102,0.744288275,0.781645404,0.712115754,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
9,0.199878013,0.918780018,-0.150730235,0.920677734,0.051243427,0.750618556,-0.314601244,0.719983799,-0.320246861,0.923568392,-0.914801537,0.927701781,-0.626165403,0.755705919,-1.281185706,0.726921225,0.721689141,0.913976119,0.594152354,0.913830087,0.833124169,0.744746605,0.693830513,0.712746024,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
