Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,434,9081,0.9240939328944818,0.9222507905235622,189,4027,4027,1.0,0.9513800934278227,0.7529646070800554,0.717745142560163
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,8209,0.9087794766209237,0.9048109207507462,189,4027,4027,1.0,0.956555018453524,0.7413603014347478,0.7040808611168515
diffusion_cosine_similarity,ml-100k/u.data,3,201,8015,0.9060012511891772,0.9122354548762072,188,3586,3586,1.0,0.9530590144164862,0.7383437704558372,0.7125387697405454
regular_cosine_similarity,ml-100k/u.data,3,4,1584,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_cosine_similarity,ml-100k/u.data,4,182,8342,0.943055492668439,0.9465056893383171,188,4101,4101,1.0,0.9517174995109102,0.7716372586875359,0.7397764398482881
regular_cosine_similarity,ml-100k/u.data,4,2,1832,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,2,192,8533,0.9622351562726459,0.9660385653516311,189,4071,4071,1.0,0.947284324137119,0.7864644480402003,0.7611618039791567
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,8043,0.9462579906860333,0.9487787729574001,189,4071,4071,1.0,0.950903637622512,0.7747735776705998,0.7468402263006626
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8426,0.9254571957161133,0.9236116153214387,188,3586,3586,1.0,0.9501766961755448,0.7579026131174524,0.7267482619214539
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8165,0.9390214664464407,0.9444524826521358,189,4027,4027,1.0,0.9501681680208127,0.7712523546208236,0.7370059074524874
diffusion_cosine_similarity,ml-100k/u.data,1,168,8612,0.9326091788229721,0.9328885815699207,189,4215,4215,1.0,0.951696364424511,0.7591241809560998,0.7242400350411065
regular_cosine_similarity,ml-100k/u.data,1,1,1757,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,0,1,1683,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,8331,0.929125267210026,0.9260212423689518,188,4101,4101,1.0,0.9539792009753633,0.7594528855228796,0.7236795339467571
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,8359,0.9064994616582547,0.9074885851950847,189,4215,4215,1.0,0.9563169475143503,0.7359541753795601,0.7025614188128051
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8289,0.9773075560508212,0.9786855516750251,189,4071,4071,1.0,0.9426273376457462,0.803072678279473,0.7744394786758223
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7686,0.888346312624632,0.8930492008661617,188,3586,3586,1.0,0.9553136424728658,0.7254175961959193,0.6990984120079187
diffusion_norm_cosine_similarity,ml-100k/u.data,4,0,8328,0.9663131776241635,0.9616746953892426,188,4101,4101,1.0,0.9474064691692827,0.7931338247348784,0.7554905195755504
regular_cosine_similarity,ml-100k/u.data,2,1,1713,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8465,0.9375004489743826,0.9452525008814241,189,4215,4215,1.0,0.9487706726922575,0.7679703150385994,0.7384082814546782
