Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,3,488,9049,0.8897330895777683,0.9027648159659808,188,3586,3586,1.0,0.954406037066943,0.7269035026981471,0.7095128413798815
diffusion_norm_cosine_similarity,ml-100k/u.data,3,2,8117,0.9154403283281651,0.9241858405544344,188,3586,3586,1.0,0.9515704874264961,0.7499152269791781,0.7279272772355097
diffusion_cosine_similarity,ml-100k/u.data,0,201,8252,0.9218679245790925,0.9217053101505297,189,4027,4027,1.0,0.9487923869419925,0.7558281104305826,0.7214887103088443
diffusion_cosine_similarity,ml-100k/u.data,1,174,8377,0.920331521513338,0.9231327173655,189,4215,4215,1.0,0.951033212879265,0.7476173879859694,0.7156023640979379
regular_cosine_similarity,ml-100k/u.data,1,3,1699,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,8451,0.9148843956094529,0.9152032273596603,189,4215,4215,1.0,0.9528613814181379,0.741933094996201,0.7085551795030139
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,8186,0.9125493771095912,0.9085336986680497,189,4027,4027,1.0,0.9529841116253714,0.7468605973872166,0.7093342287118897
diffusion_cosine_similarity,ml-100k/u.data,4,187,8335,0.941015906579748,0.9465817159769087,188,4101,4101,1.0,0.9525307711730118,0.7707410599641562,0.7409356197307662
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,8346,0.9323502530195906,0.9324031098446263,188,4101,4101,1.0,0.9529962775993743,0.7623040277203841,0.7298681475901045
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8488,0.9489842451826265,0.9512403449495053,189,4215,4215,1.0,0.9468966536519009,0.7783517145032349,0.7435097572588405
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,8035,0.8862767577856298,0.8960771954530993,188,3586,3586,1.0,0.9557664668353213,0.7247808789976756,0.7035569051866039
diffusion_cosine_similarity,ml-100k/u.data,2,176,8305,0.9595201689435081,0.9677720123670911,189,4071,4071,1.0,0.9442874898218911,0.7868122923108969,0.7639299336472465
regular_cosine_similarity,ml-100k/u.data,2,2,1651,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,8222,0.9518697979897556,0.9551663715983456,189,4071,4071,1.0,0.9483648329601491,0.7799844266649736,0.7524592353568639
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8225,0.9744923546439946,0.9801987838064116,189,4071,4071,1.0,0.9471645196486778,0.7978414835279187,0.7754484271447625
regular_cosine_similarity,ml-100k/u.data,4,2,1675,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,3,2,1546,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
regular_cosine_similarity,ml-100k/u.data,0,1,1616,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8196,0.9654563035705237,0.9672440047863035,188,4101,4101,1.0,0.9478177585520434,0.7930834649651494,0.7618982333904529
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8213,0.9472287933773693,0.9461319063499944,189,4027,4027,1.0,0.9483607668663386,0.7765380955394005,0.7382054274676021
