Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,3,459,9104,0.9656522192300396,0.9667627953967939,188,3586,3586,1.0,0.9445504980619438,0.800574489699922,0.7734020449371836
diffusion_distance_similarity,ml-100k/u.data,2,204,8527,1.0274731499575949,1.0291668032396446,189,4071,4071,1.0,0.9294501284614539,0.8465524086319259,0.818289316289964
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8526,1.0354005458594828,1.0406885666804833,189,4071,4071,1.0,0.9309853664279368,0.8536694332432405,0.8274450770530198
diffusion_distance_similarity,ml-100k/u.data,0,171,8558,0.9884218226233439,0.9918019500037107,189,4027,4027,1.0,0.939773580641771,0.8102048386851476,0.7833194457345052
regular_distance_similarity,ml-100k/u.data,0,2,3888,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,1,173,8779,0.9849241612703089,0.9964849325550827,189,4215,4215,1.0,0.9394727302505306,0.8106872410647105,0.7836932313130719
regular_distance_similarity,ml-100k/u.data,1,1,3863,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8533,0.9891215924372627,0.9970455724103523,189,4027,4027,1.0,0.9387080356755725,0.8106873272889453,0.7875344642788241
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8714,0.9904202808527516,1.0017121920783687,189,4215,4215,1.0,0.93783749349573,0.816287382012056,0.7889039878129785
regular_distance_similarity,ml-100k/u.data,3,1,3558,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,4,178,8603,1.0090688405109207,1.0236051807813302,188,4101,4101,1.0,0.9387330506686695,0.831563256429316,0.815043694495113
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8516,1.0018884902967862,1.00565348509312,189,4027,4027,1.0,0.9380500732160671,0.820767227414164,0.795128556256951
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8716,1.0137183376290972,1.0306864469254065,188,4101,4101,1.0,0.9383967888593888,0.8340927177413563,0.8219479706793636
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8538,1.028470683948133,1.0311285895361237,189,4071,4071,1.0,0.9311112138948123,0.847214982468467,0.819163450128931
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,9032,0.9951219209430959,1.0068013375443081,189,4215,4215,1.0,0.9380829284659087,0.8190283387794293,0.7926130128772295
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8284,0.9749746138235347,0.9780095751898139,188,3586,3586,1.0,0.941497957182193,0.8092391077233115,0.7831637123225451
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8700,1.0117926256198893,1.0289199238556057,188,4101,4101,1.0,0.9372685471825601,0.8317671956269835,0.817866522505472
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,9627,0.964117655820149,0.9691494557802046,188,3586,3586,1.0,0.9434991989416901,0.7999820750625722,0.7748896696579703
regular_distance_similarity,ml-100k/u.data,2,2,3783,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
regular_distance_similarity,ml-100k/u.data,4,2,3764,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
