Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,2,460,9340,1.0274165992383142,1.0288618200060033,189,4071,4071,1.0,0.9290347859017013,0.8457858404731973,0.8179505076086354
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8598,1.025943869565035,1.0352227608797517,189,4071,4071,1.0,0.9318578684059717,0.846122092418082,0.8226660414250934
diffusion_distance_similarity,ml-100k/u.data,1,204,8673,0.9889403199857619,0.9987082080554812,189,4215,4215,1.0,0.9365979383096537,0.8156550758458052,0.7856833046522423
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8643,0.9914267227537145,1.0017015890037435,189,4215,4215,1.0,0.9383974433020403,0.8172120052986372,0.7889523898958338
diffusion_distance_similarity,ml-100k/u.data,4,186,8488,1.0067778460108385,1.0228324266711575,188,4101,4101,1.0,0.9381089550332388,0.8272727323580455,0.8128528678455494
regular_distance_similarity,ml-100k/u.data,1,2,3845,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_distance_similarity,ml-100k/u.data,0,171,8554,0.9883972119023217,0.9933747526825449,189,4027,4027,1.0,0.9387839231353,0.8101459104873726,0.7835039282640738
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8430,0.9960243646815521,1.0004699696744794,189,4027,4027,1.0,0.9379671402711266,0.8164947094056063,0.7899997182762689
regular_distance_similarity,ml-100k/u.data,4,1,3742,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_distance_similarity,ml-100k/u.data,3,175,8167,0.9662566170458292,0.9666443080604621,188,3586,3586,1.0,0.9432626993127178,0.8014076754708074,0.7740175625725145
regular_distance_similarity,ml-100k/u.data,3,2,3467,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8666,0.9917793386906153,1.0056364003113587,189,4215,4215,1.0,0.9375777920896452,0.8186198627488253,0.7933530200960466
regular_distance_similarity,ml-100k/u.data,2,1,3726,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8561,1.0093566982320779,1.0264294815173927,188,4101,4101,1.0,0.9383265299079271,0.8294035154039713,0.8155455441369667
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8548,1.0125301775808802,1.0310793747934073,188,4101,4101,1.0,0.9356877068857958,0.8320209567106603,0.8196239143244344
regular_distance_similarity,ml-100k/u.data,0,2,3674,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8206,0.9699566794107635,0.9738963000015214,188,3586,3586,1.0,0.942324416806526,0.80534473890232,0.7804666461232757
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,8196,0.9643684901813538,0.9690457196233407,188,3586,3586,1.0,0.9422276121141521,0.7996253282175884,0.7745983694770616
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8446,0.9893967394967172,0.9950722694729066,189,4027,4027,1.0,0.939113532253751,0.8095525979410387,0.7841125958009232
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8566,1.027984252893468,1.0311484683806125,189,4071,4071,1.0,0.9298053700210819,0.8466633651622665,0.8188582906297963
