Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,427,8938,0.9971181105121449,1.011667842912404,188,4101,4101,1.0,0.9394623302364926,0.8176412839855683,0.8024099804792698
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8128,1.0202515040865012,1.0369631246301265,188,4101,4101,1.0,0.9360256360299427,0.839616359474327,0.8254558261146426
diffusion_distance_similarity,ml-100k/u.data,1,201,8263,0.9805828271003286,0.9906686846574169,189,4215,4215,1.0,0.94018568200709,0.8069313994748601,0.7793093871956404
diffusion_distance_similarity,ml-100k/u.data,2,168,8197,1.0210920214776569,1.0223966182793274,189,4071,4071,1.0,0.93242266478864,0.8391666434061558,0.811389206372197
regular_distance_similarity,ml-100k/u.data,2,2,3542,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8210,1.0028261354338661,1.0208732558680744,188,4101,4101,1.0,0.9372079624373462,0.8240250076128105,0.8108911317304447
regular_distance_similarity,ml-100k/u.data,1,1,3566,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_distance_similarity,ml-100k/u.data,3,163,7906,0.9652546208707516,0.9619046321319046,188,3586,3586,1.0,0.9432102472932755,0.7989906431913492,0.7690673850632178
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,7812,0.9668700535979875,0.9654665447574576,188,3586,3586,1.0,0.9428603948855659,0.8012054602305191,0.7714689298931183
diffusion_distance_similarity,ml-100k/u.data,0,164,8087,0.9817248807579174,0.9835349162873063,189,4027,4027,1.0,0.9423635607934275,0.8042974733266207,0.7736233678135002
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8006,0.983665367839628,0.9889772905538715,189,4027,4027,1.0,0.9414360818178868,0.8066404092989076,0.7794959088347162
regular_distance_similarity,ml-100k/u.data,3,1,3292,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7748,0.9839588627331394,0.9836485306874433,188,3586,3586,1.0,0.9369954471806311,0.8150179553389315,0.7877604330027212
regular_distance_similarity,ml-100k/u.data,4,1,3453,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
regular_distance_similarity,ml-100k/u.data,0,1,3485,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8034,1.0053877558357824,1.010419142608575,189,4027,4027,1.0,0.9369476418623159,0.8259393084724804,0.7996367529642849
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8208,0.9858131506847789,0.9966473482106735,189,4215,4215,1.0,0.9389589260920381,0.8125873369757739,0.7849241907901708
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8522,1.003040217734121,1.0144436229702325,189,4215,4215,1.0,0.9357799200204497,0.8260558733292332,0.8001547916912842
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8236,1.0385896780178578,1.0449623487525823,189,4071,4071,1.0,0.9302114786174319,0.8570560902929262,0.8314659862891669
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8298,1.026798699016412,1.0300332786199884,189,4071,4071,1.0,0.9286524764068294,0.8448064914279872,0.8169845662304643
