Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,447,9175,0.9832423499572862,0.9947608542549036,189,4027,4027,1.0,0.9438785698507087,0.8023025243174274,0.7787718237308333
diffusion_cosine_similarity,ml-100k/u.data,2,197,8601,0.9988538283540875,1.015768411588258,189,4071,4071,1.0,0.9417583308675055,0.8127781792424312,0.8001995104313154
diffusion_cosine_similarity,ml-100k/u.data,4,188,8929,0.9983485967150629,1.0094778646469067,188,4101,4101,1.0,0.9431925095733603,0.8138483191726877,0.7883560875766441
regular_cosine_similarity,ml-100k/u.data,2,3,1826,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
regular_cosine_similarity,ml-100k/u.data,0,3,1780,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8434,0.9476034451877867,0.9479604789683236,189,4027,4027,1.0,0.9488873085597012,0.7749023124972355,0.7403775836992679
diffusion_cosine_similarity,ml-100k/u.data,3,165,8219,0.9539800234323617,0.9626974533096719,188,3586,3586,1.0,0.9469188201038318,0.774886359720798,0.7528559971600266
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8162,0.9315739773256896,0.9271663780484992,188,3586,3586,1.0,0.9504699972990072,0.7602130863113397,0.7289103468216096
regular_cosine_similarity,ml-100k/u.data,3,2,1787,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_cosine_similarity,ml-100k/u.data,1,162,8498,0.9706555304573974,0.9924633013861703,189,4215,4215,1.0,0.9460187968149886,0.793559417896578,0.7730659512416088
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8724,0.9504712432687454,0.9553437013449226,189,4215,4215,1.0,0.947511617465717,0.7813272452512607,0.7463448174404508
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8569,0.9804724411959217,0.9801702935545836,189,4071,4071,1.0,0.9427954900251528,0.8014608958116128,0.7745154753223974
regular_cosine_similarity,ml-100k/u.data,1,2,1850,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8414,0.9734335330784523,0.9679653618556777,188,4101,4101,1.0,0.9465582166188147,0.7962648656315405,0.7609292928492906
regular_cosine_similarity,ml-100k/u.data,4,2,1853,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
