Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,438,8603,1.0042445346966475,1.0192295814468117,188,4101,4101,1.0,0.9400102873628191,0.8258538407193001,0.8100861435087003
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,7958,1.0152700244095123,1.033762730460171,188,4101,4101,1.0,0.9365636576623436,0.8352807808102098,0.8234032841707306
diffusion_distance_similarity,ml-100k/u.data,2,193,7990,1.025150224666631,1.0262625895784416,189,4071,4071,1.0,0.9292297447433213,0.8440308304605674,0.8162007145093136
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,7837,1.0305109664137906,1.0388286936644862,189,4071,4071,1.0,0.9304183894403183,0.8496911608503418,0.8258970899433459
diffusion_distance_similarity,ml-100k/u.data,0,158,7879,0.9852294954862276,0.9887174088555167,189,4027,4027,1.0,0.9426136465473919,0.8073985031643096,0.7789623708057167
regular_distance_similarity,ml-100k/u.data,0,2,3452,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,1,158,8097,0.9831553621159753,0.992643609391164,189,4215,4215,1.0,0.9409670407060721,0.8091757180662679,0.7797828167156047
regular_distance_similarity,ml-100k/u.data,1,1,3567,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_distance_similarity,ml-100k/u.data,3,156,7685,0.9642365601559817,0.9627238969030646,188,3586,3586,1.0,0.9441822246208281,0.8002005668320311,0.7708734231369033
regular_distance_similarity,ml-100k/u.data,3,1,3256,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8039,0.9952354648187093,1.0089910755404332,189,4215,4215,1.0,0.9357209060151834,0.8209902531631574,0.7959587899588102
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7642,0.9768736093676575,0.9795353076191864,188,3586,3586,1.0,0.9410031571540843,0.8105391799845804,0.7842036348425393
regular_distance_similarity,ml-100k/u.data,4,2,3465,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
regular_distance_similarity,ml-100k/u.data,2,2,3423,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,7917,1.000623076889923,1.0056870183043283,189,4027,4027,1.0,0.9375859002545691,0.8218609804750889,0.7951664822225276
