Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,474,9170,0.923088000260705,0.9205026225071306,189,4027,4027,1.0,0.9525507513350028,0.7533039615769289,0.7167208518783079
regular_cosine_similarity,ml-100k/u.data,0,3,1635,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_cosine_similarity,ml-100k/u.data,1,194,8363,0.932661400432445,0.930316441850263,189,4215,4215,1.0,0.9497804749053693,0.7601794048926875,0.7222893822671458
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8553,0.9365810131104466,0.9461761030294528,189,4215,4215,1.0,0.9482805181782119,0.7681935320840635,0.7398452171664514
diffusion_cosine_similarity,ml-100k/u.data,2,171,8249,0.962320467269953,0.9655357910230462,189,4071,4071,1.0,0.946157002654197,0.7864204018395142,0.7613487097547572
regular_cosine_similarity,ml-100k/u.data,2,2,1661,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
regular_cosine_similarity,ml-100k/u.data,1,2,1699,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_cosine_similarity,ml-100k/u.data,4,172,8273,0.9410274069282225,0.9436641598268161,188,4101,4101,1.0,0.9518683722830275,0.7703045968882862,0.7384590484717304
regular_cosine_similarity,ml-100k/u.data,4,2,1674,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8263,0.9385063250816146,0.9405249130499991,189,4027,4027,1.0,0.949864974954143,0.7717802940786623,0.7348777396967222
diffusion_cosine_similarity,ml-100k/u.data,3,179,7962,0.9072572928256073,0.9127194249924544,188,3586,3586,1.0,0.9521629147322809,0.7392854041529773,0.7131192526050992
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8093,0.9228076786546217,0.9218831012165039,188,3586,3586,1.0,0.9518022697436278,0.7548544391230111,0.7246329581565284
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8352,0.9713509202640991,0.9659980636086495,188,4101,4101,1.0,0.9464957407577216,0.7965618888062899,0.7598308621298407
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8250,0.9733677043071,0.9740728215705601,189,4071,4071,1.0,0.9435150551731614,0.8004562373381098,0.7719083581741241
regular_cosine_similarity,ml-100k/u.data,3,2,1618,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
