Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,458,9059,0.9539203381954017,0.9603765140703904,189,4071,4071,1.0,0.9480086878395535,0.7824025394633873,0.757873096273725
diffusion_cosine_similarity,ml-100k/u.data,0,196,8401,0.9148955175271273,0.9137514226318936,189,4027,4027,1.0,0.9518883787758992,0.7499924551984143,0.7147677668567624
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8184,0.9062348944339484,0.900244764197654,189,4027,4027,1.0,0.955426524194697,0.738845800130009,0.6992333341798909
diffusion_cosine_similarity,ml-100k/u.data,1,167,8416,0.9201105217134609,0.920935909170405,189,4215,4215,1.0,0.9518369383135487,0.7488270495169886,0.7150363962240863
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8297,0.9081229906692986,0.9073412005465884,189,4215,4215,1.0,0.9560969180356181,0.7378067185598752,0.7028528987332269
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8289,0.9415451315559773,0.940359891367279,189,4071,4071,1.0,0.9496436163805193,0.7696310988696539,0.7406064496696001
diffusion_cosine_similarity,ml-100k/u.data,3,187,7950,0.888005144352132,0.8990809089214633,188,3586,3586,1.0,0.9543982777958077,0.7266691067348523,0.7068483436265535
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7477,0.879647858013812,0.8882564901914644,188,3586,3586,1.0,0.958491289568736,0.7148096007108827,0.6918786069435789
diffusion_cosine_similarity,ml-100k/u.data,4,167,8069,0.9385632783693038,0.9397420943153534,188,4101,4101,1.0,0.9525455621002571,0.7675895829728105,0.7371192372494152
regular_cosine_similarity,ml-100k/u.data,4,3,1716,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,2,1669,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8232,0.9237293892855991,0.922555010785591,188,4101,4101,1.0,0.9551793621764257,0.7527784858906706,0.72070140268334
regular_cosine_similarity,ml-100k/u.data,1,2,1689,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,3,2,1555,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
regular_cosine_similarity,ml-100k/u.data,2,2,1617,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
