Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,3,466,9204,0.965955105343179,0.9673276338120649,188,3586,3586,1.0,0.9418752002972163,0.7990194658278186,0.7724165324668119
regular_distance_similarity,ml-100k/u.data,3,3,3526,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,2,208,8050,1.0249487143606886,1.0306255248431415,189,4071,4071,1.0,0.9293653013417883,0.844305424564404,0.8174400179947032
regular_distance_similarity,ml-100k/u.data,2,2,3630,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7851,0.9769063654308272,0.9784584380533314,188,3586,3586,1.0,0.9398419359434819,0.8095813416604575,0.7829920231962868
diffusion_distance_similarity,ml-100k/u.data,4,172,8097,1.0049029289829858,1.0218662047909048,188,4101,4101,1.0,0.9387076205922775,0.8262244941125609,0.8123824855166571
diffusion_distance_similarity,ml-100k/u.data,1,173,8429,0.9855392421428332,0.9981118161376055,189,4215,4215,1.0,0.9384959709270151,0.8127703766039237,0.7860172943993358
regular_distance_similarity,ml-100k/u.data,1,2,3835,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8758,0.996410924092949,1.0088498880306542,189,4215,4215,1.0,0.9368440827150221,0.8217693648409534,0.7960020778112109
diffusion_distance_similarity,ml-100k/u.data,0,163,8556,0.9852798608129092,0.9907105478806901,189,4027,4027,1.0,0.941185587886915,0.8070785483611995,0.7804827050070926
regular_distance_similarity,ml-100k/u.data,0,2,3795,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
regular_distance_similarity,ml-100k/u.data,4,2,3838,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8576,1.0184325641659728,1.0354384369743694,188,4101,4101,1.0,0.9351772837249732,0.8370391519478664,0.8235019002543127
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8519,1.029260147840503,1.038298727005657,189,4071,4071,1.0,0.9304066686601439,0.8487271664273165,0.825100415913862
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8605,0.9994992862825512,1.0038984805174638,189,4027,4027,1.0,0.9378424264368805,0.8199240071442694,0.7925297559277437
