Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,693,9159,1.0204094121695404,1.040747293013837,189,4071,4071,1.0,0.9400422983453299,0.8286133620618277,0.8174764328655288
diffusion_cosine_similarity,ml-100k/u.data,0,335,8094,1.0031723285902046,1.0249837058356455,189,4027,4027,1.0,0.9426199108424085,0.8145019545625353,0.8010366830540052
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7956,0.9516685163651551,0.9495879781238931,189,4027,4027,1.0,0.9484356887980957,0.7766193095529199,0.7420903390057083
regular_cosine_similarity,ml-100k/u.data,2,3,1787,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,283,7820,0.9780792909128969,0.9915309593896726,188,3586,3586,1.0,0.9442209721686258,0.7903287253603138,0.7743123587911445
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7577,0.9320068432367242,0.9271557552168591,188,3586,3586,1.0,0.9505933300947919,0.7619503772599061,0.7307843472639611
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7965,0.9836700770692783,0.981293056436213,189,4071,4071,1.0,0.9409585038702604,0.8047775119159203,0.7758240465585854
diffusion_cosine_similarity,ml-100k/u.data,4,205,8280,1.0205052790271143,1.0518621193614872,188,4101,4101,1.0,0.9416405895638922,0.8286760713275073,0.8177411305348902
diffusion_cosine_similarity,ml-100k/u.data,1,166,8152,0.9898433257022939,1.0235497091499786,189,4215,4215,1.0,0.9446289368840913,0.8098557933699935,0.797500323215198
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7997,0.9704886944400252,0.9687749118188251,188,4101,4101,1.0,0.949365840200148,0.7969933025490589,0.7643048069659231
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8493,0.9498437822411604,0.953255832038105,189,4215,4215,1.0,0.949743637370868,0.7830917404048505,0.746570870780081
regular_cosine_similarity,ml-100k/u.data,1,3,1722,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1626,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,3,1607,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1539,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
