Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,760,9029,0.9437000440022224,0.9518480558925606,189,4071,4071,1.0,0.9515178263828689,0.7738893756622615,0.7502093434495849
diffusion_cosine_similarity,ml-100k/u.data,0,335,7886,0.9200162434204628,0.9119795377297154,189,4027,4027,1.0,0.9521811423384366,0.7492148927907278,0.7087575719432865
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7755,0.9068498841206127,0.901750596227053,189,4027,4027,1.0,0.9548184910497169,0.7390057657233485,0.7005864263575863
regular_cosine_similarity,ml-100k/u.data,2,3,1763,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,190,7564,0.8904124234679316,0.896948208507321,188,3586,3586,1.0,0.9545860344561519,0.7270563751133677,0.7018906040850049
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7525,0.8841681571628517,0.8876927309723353,188,3586,3586,1.0,0.9581143583765497,0.719395749880186,0.6925790315118346
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7812,0.9443508912256907,0.9417078722640796,189,4071,4071,1.0,0.9497749526553677,0.7713657134535965,0.7404350045466905
diffusion_cosine_similarity,ml-100k/u.data,4,204,7719,0.9346388330065494,0.9319258433978274,188,4101,4101,1.0,0.9524260608981507,0.7633485538299475,0.7288454358334565
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7726,0.9234083298159946,0.920845231564735,188,4101,4101,1.0,0.954064229552091,0.7550322975013836,0.721508723736292
diffusion_cosine_similarity,ml-100k/u.data,1,166,7835,0.917667885837844,0.9125944487404761,189,4215,4215,1.0,0.9541501756463406,0.7469481695927296,0.7089740795970125
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7825,0.9097327453251957,0.908174396571848,189,4215,4215,1.0,0.954371287874817,0.7391963264079013,0.7028804618277252
regular_cosine_similarity,ml-100k/u.data,1,3,1706,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1624,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,3,1608,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1565,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
