Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,4,434,8342,0.9292598485374894,0.9263576568768829,188,4101,4101,1.0,0.9535238269884448,0.7601198678519164,0.7245198176850985
diffusion_cosine_similarity,ml-100k/u.data,3,201,7341,0.8904368788471009,0.8925018067014204,188,3586,3586,1.0,0.9559542640337221,0.7269217284673739,0.6979120054908282
diffusion_cosine_similarity,ml-100k/u.data,0,160,7758,0.9147129680030357,0.9068565374481813,189,4027,4027,1.0,0.9555368541831807,0.7452920909419257,0.7046310895265322
regular_cosine_similarity,ml-100k/u.data,0,3,1528,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_cosine_similarity,ml-100k/u.data,1,156,7679,0.9053960025202962,0.9062650493154731,189,4215,4215,1.0,0.9570041623744481,0.7350416908468878,0.7012689532801288
regular_cosine_similarity,ml-100k/u.data,1,2,1584,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7746,0.9278362687123626,0.9241770360720527,188,4101,4101,1.0,0.9542537193464796,0.7588962968501959,0.7242048721545072
diffusion_cosine_similarity,ml-100k/u.data,2,153,7590,0.9455831849079668,0.9474252170813953,189,4071,4071,1.0,0.9505812240420705,0.7748254518366618,0.7460634466496009
regular_cosine_similarity,ml-100k/u.data,2,2,1555,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7786,0.9119602869501096,0.9120440773204238,189,4215,4215,1.0,0.9526605281697026,0.7408351280837792,0.7052334874415706
regular_cosine_similarity,ml-100k/u.data,4,2,1584,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7362,0.8886929066949762,0.8899018408858809,188,3586,3586,1.0,0.9572276094683421,0.7242894857736212,0.6955400584171866
regular_cosine_similarity,ml-100k/u.data,3,2,1474,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7656,0.9501287788067738,0.9456550353016523,189,4071,4071,1.0,0.9491132444146237,0.776206479759263,0.7435655644594276
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7684,0.9114405441135839,0.9060787320198246,189,4027,4027,1.0,0.9550219836735229,0.7420592708261524,0.7034155084272201
