Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,4,453,9107,0.9342520321109978,0.9337402772992685,188,4101,4101,1.0,0.9518554178669365,0.7638897962156301,0.73092519069952
regular_cosine_similarity,ml-100k/u.data,4,3,1672,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8280,0.9262489612158934,0.924092792675719,188,4101,4101,1.0,0.9536445136973873,0.7570717233892059,0.7233366836921286
diffusion_cosine_similarity,ml-100k/u.data,3,204,7948,0.8855988469062516,0.8953120614756458,188,3586,3586,1.0,0.9559539849812994,0.7248523988904804,0.7032143549456601
diffusion_cosine_similarity,ml-100k/u.data,1,163,8031,0.9141240859067921,0.9148487696874154,189,4215,4215,1.0,0.9527061929637957,0.7416941450912287,0.7087247517326754
regular_cosine_similarity,ml-100k/u.data,1,2,1621,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8264,0.911012373841038,0.9102282025250562,189,4215,4215,1.0,0.9534714679625418,0.7405974757506287,0.7043892053887402
regular_cosine_similarity,ml-100k/u.data,3,2,1561,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_cosine_similarity,ml-100k/u.data,0,162,8144,0.9188915584987739,0.9117368970214053,189,4027,4027,1.0,0.9530031022935241,0.7511636184372318,0.7107409248254419
regular_cosine_similarity,ml-100k/u.data,0,2,1615,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_cosine_similarity,ml-100k/u.data,2,173,8014,0.9529902166867319,0.955953247392613,189,4071,4071,1.0,0.9484875837788735,0.7808305386513545,0.7526552718585704
regular_cosine_similarity,ml-100k/u.data,2,2,1683,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8153,0.9488827985827266,0.9445699244996512,189,4071,4071,1.0,0.9496566144941616,0.7753337615388101,0.7430908682532698
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7797,0.8866924083491369,0.8887090749981512,188,3586,3586,1.0,0.9583480621787155,0.7217450140881584,0.6933144842971255
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7807,0.9092658014955496,0.9042162312956409,189,4027,4027,1.0,0.9550254129103128,0.7403083927957047,0.7021132848511109
