Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,1,466,9328,0.914287452935967,0.912701591163064,189,4215,4215,1.0,0.9535158546207584,0.7423604500943033,0.7071376689207887
diffusion_norm_cosine_similarity,ml-100k/u.data,1,2,8470,0.9140083550247818,0.914538294298699,189,4215,4215,1.0,0.9529657676548571,0.7424828477871425,0.7071188939276576
diffusion_cosine_similarity,ml-100k/u.data,4,210,8374,0.9293019359069455,0.9275158650622417,188,4101,4101,1.0,0.9534888777509372,0.7583771597874622,0.7251827540339976
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8212,0.9277357664237678,0.9265321755226301,188,4101,4101,1.0,0.953437835152282,0.7585600675453917,0.725895882176765
diffusion_cosine_similarity,ml-100k/u.data,2,178,8253,0.9534686103620247,0.9521997440121761,189,4071,4071,1.0,0.9501327892902591,0.7809091500726018,0.7508192779286199
regular_cosine_similarity,ml-100k/u.data,2,3,1628,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,174,8070,0.8895546890752128,0.8935025585326803,188,3586,3586,1.0,0.9548573160419371,0.7277412635716849,0.6994655216144593
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8007,0.8866460987453475,0.8907405163484021,188,3586,3586,1.0,0.9574624626054453,0.72596774201785,0.6973737120832099
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8259,0.9520590549218171,0.9489526575692415,189,4071,4071,1.0,0.94926430653935,0.7780246020072777,0.7462699046393254
regular_cosine_similarity,ml-100k/u.data,1,2,1688,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1642,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,0,160,8216,0.9143663405624575,0.9116881300158709,189,4027,4027,1.0,0.9552270163514146,0.7455402686991559,0.7082383758665929
regular_cosine_similarity,ml-100k/u.data,0,2,1665,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8229,0.9126075463637969,0.910447640074101,189,4027,4027,1.0,0.9547386054149718,0.7420509622742966,0.7067496125086499
regular_cosine_similarity,ml-100k/u.data,3,2,1549,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
