Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,2,444,8959,1.002218031045645,1.00859556439294,189,4071,4071,1.0,0.9395150893272923,0.8250083562927633,0.7991227696538401
regular_distance_similarity,ml-100k/u.data,2,2,3564,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_distance_similarity,ml-100k/u.data,4,202,8040,0.989324131533859,1.002284133516605,188,4101,4101,1.0,0.9410129805212321,0.814772049171115,0.7952583355023466
diffusion_distance_similarity,ml-100k/u.data,1,167,8338,0.9675136979717545,0.9792310779146606,189,4215,4215,1.0,0.9443572387729389,0.7949159577976238,0.767835494877628
diffusion_distance_similarity,ml-100k/u.data,0,157,8058,0.9714586791579862,0.9715216383446418,189,4027,4027,1.0,0.943930964387174,0.7940834948688698,0.7614278688473173
regular_distance_similarity,ml-100k/u.data,4,2,3594,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8355,0.9484206906467099,0.9595111858381637,189,4215,4215,1.0,0.9475162077341398,0.7767920596559498,0.7514646194318327
diffusion_distance_similarity,ml-100k/u.data,3,162,7934,0.9449173535020919,0.9498399683562719,188,3586,3586,1.0,0.946719082386754,0.7855258256253973,0.7578675930554091
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7807,0.9288155711161893,0.9330772736348664,188,3586,3586,1.0,0.9483644393348807,0.7697870856543244,0.7412605446306746
regular_distance_similarity,ml-100k/u.data,1,1,3672,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8107,0.9546286220526068,0.9509774111282804,189,4027,4027,1.0,0.9499138889518803,0.781271833699844,0.745207319130211
regular_distance_similarity,ml-100k/u.data,0,2,3509,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8092,0.9654920871865946,0.9737895756287982,188,4101,4101,1.0,0.9479292665287035,0.79050640372576,0.7673071503284656
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8078,0.9937504140701038,0.9947923185518951,189,4071,4071,1.0,0.940517146227682,0.8168402529492583,0.7845123035808916
regular_distance_similarity,ml-100k/u.data,3,2,3341,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
