Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,474,11239,1.004720061235453,1.0256415311986553,188,4101,4101,1.0,0.9383078572993363,0.8291612346995867,0.8168305630285907
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,10265,1.0049416999331027,1.0260652418492218,188,4101,4101,1.0,0.937841451617838,0.8297215400369421,0.8167339310396107
diffusion_distance_similarity,ml-100k/u.data,3,220,9632,0.9688885968854287,0.9714100551366374,188,3586,3586,1.0,0.9411828184425529,0.803454601470746,0.7761502226903243
diffusion_distance_similarity,ml-100k/u.data,0,183,9810,0.9952633975750008,0.9964290305953627,189,4027,4027,1.0,0.9376286734354221,0.8178131294742568,0.7866184583950173
diffusion_distance_similarity,ml-100k/u.data,2,211,10250,1.0229093568731675,1.0288178987756254,189,4071,4071,1.0,0.9314678548795722,0.8426384699781799,0.8169185197846832
regular_distance_similarity,ml-100k/u.data,2,3,4449,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,10000,1.0226970119408385,1.0300025810515892,189,4071,4071,1.0,0.9327571055286351,0.8437973981267487,0.8187345617535567
regular_distance_similarity,ml-100k/u.data,3,2,4229,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,1,225,10265,0.9898651419743237,0.9998033939980832,189,4215,4215,1.0,0.9389478178736596,0.816552269138453,0.7889334548952428
regular_distance_similarity,ml-100k/u.data,1,2,4524,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,10056,0.9916939623413178,1.0023517345904047,189,4215,4215,1.0,0.9383028793202067,0.8185602867530191,0.7910765880425167
regular_distance_similarity,ml-100k/u.data,4,2,4371,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,9521,0.9902656515344053,0.9946743194803155,189,4027,4027,1.0,0.9413579179570084,0.812266949512141,0.7850090235787562
regular_distance_similarity,ml-100k/u.data,0,2,4143,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,9227,0.9700259474435745,0.9735589218248273,188,3586,3586,1.0,0.9390422752544461,0.8038480963507778,0.7768132744244233
