Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG
diffusion_distance,ml-100k/u.data,0,155,9376,0.996739764,0.998694424,189,4107,4107,1,0.939543562
regular_distance,ml-100k/u.data,0,2,4031,0.996724085,0.998524308,189,4107,4107,1,0.93903022
diffusion_norm_distance,ml-100k/u.data,0,1,9105,0.996657021,0.998495432,189,4107,4107,1,0.939127465
simple_mean,ml-100k/u.data,0,0,22,0.938078848,0.937598146,189,4107,4107,1,0.950539224
diffusion_distance,ml-100k/u.data,1,477,9772,0.99328027,1.033402986,189,3992,3992,1,0.93642485
regular_distance,ml-100k/u.data,1,2,4013,0.993345994,1.033294154,189,3992,3992,1,0.936694844
diffusion_norm_distance,ml-100k/u.data,1,1,8939,0.993321684,1.033263751,189,3992,3992,1,0.936535482
simple_mean,ml-100k/u.data,1,0,23,0.938801487,0.969804278,189,3992,3992,1,0.946268318
diffusion_distance,ml-100k/u.data,2,200,9122,0.970090047,1.010536158,189,4125,4125,1,0.940275957
diffusion_norm_distance,ml-100k/u.data,2,1,9051,0.970146002,1.01065038,189,4125,4125,1,0.940376918
simple_mean,ml-100k/u.data,2,0,23,0.913160755,0.949094302,189,4125,4125,1,0.951114252
regular_distance,ml-100k/u.data,2,2,4010,0.970032,1.010552646,189,4125,4125,1,0.940398767
diffusion_distance,ml-100k/u.data,3,173,8673,0.978588418,0.980953601,188,3632,3632,1,0.942833646
diffusion_norm_distance,ml-100k/u.data,3,1,8868,0.97866291,0.981094842,188,3632,3632,1,0.942717635
simple_mean,ml-100k/u.data,3,0,21,0.919432866,0.916956561,188,3632,3632,1,0.954252878
regular_distance,ml-100k/u.data,3,2,3575,0.978676265,0.981061545,188,3632,3632,1,0.942716241
diffusion_distance,ml-100k/u.data,4,224,9590,0.974499262,1.011093115,188,4144,4144,1,0.936019241
simple_mean,ml-100k/u.data,4,0,26,0.923214862,0.953488036,188,4144,4144,1,0.945885759
regular_distance,ml-100k/u.data,4,3,3802,0.974469899,1.010991029,188,4144,4144,1,0.936196888
diffusion_norm_distance,ml-100k/u.data,4,1,9004,0.974428809,1.010931974,188,4144,4144,1,0.936130025
