Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG
diffusion_distance,ml-100k/u.data,0,157,8864,0.996929827,0.998807056,189,4107,4107,1,0.938508156
simple_mean,ml-100k/u.data,0,0,21,0.938078848,0.937598146,189,4107,4107,1,0.950539224
regular_distance,ml-100k/u.data,0,2,3930,0.996724085,0.998524308,189,4107,4107,1,0.93903022
diffusion_norm_distance,ml-100k/u.data,0,1,8744,0.996678252,0.998649446,189,4107,4107,1,0.93913205
diffusion_distance,ml-100k/u.data,1,447,9847,0.993539223,1.033353216,189,3992,3992,1,0.936557253
regular_distance,ml-100k/u.data,1,3,4135,0.993345994,1.033294154,189,3992,3992,1,0.936694844
simple_mean,ml-100k/u.data,1,0,20,0.938801487,0.969804278,189,3992,3992,1,0.946268318
diffusion_norm_distance,ml-100k/u.data,1,1,8898,0.993285505,1.033283402,189,3992,3992,1,0.936556878
diffusion_distance,ml-100k/u.data,2,201,8952,0.969823274,1.010205169,189,4125,4125,1,0.9401991
diffusion_norm_distance,ml-100k/u.data,2,1,9065,0.970301186,1.010712383,189,4125,4125,1,0.940359537
simple_mean,ml-100k/u.data,2,0,28,0.913160755,0.949094302,189,4125,4125,1,0.951114252
regular_distance,ml-100k/u.data,2,1,4250,0.970032,1.010552646,189,4125,4125,1,0.940398767
diffusion_distance,ml-100k/u.data,3,182,8347,0.978666584,0.980962148,188,3632,3632,1,0.942717074
regular_distance,ml-100k/u.data,3,2,3767,0.978676265,0.981061545,188,3632,3632,1,0.942716241
simple_mean,ml-100k/u.data,3,0,23,0.919432866,0.916956561,188,3632,3632,1,0.954252878
diffusion_norm_distance,ml-100k/u.data,3,2,8528,0.978652541,0.981237599,188,3632,3632,1,0.942723423
diffusion_distance,ml-100k/u.data,4,179,9029,0.974742752,1.011484683,188,4144,4144,1,0.935687908
simple_mean,ml-100k/u.data,4,0,27,0.923214862,0.953488036,188,4144,4144,1,0.945885759
diffusion_norm_distance,ml-100k/u.data,4,1,9346,0.974454798,1.011009567,188,4144,4144,1,0.936209426
regular_distance,ml-100k/u.data,4,1,3926,0.974469899,1.010991029,188,4144,4144,1,0.936196888
