Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG
diffusion_distance,ml-100k/u.data,0,166,8811,0.996710586,0.998940629,189,4107,4107,1,0.938463276
simple_mean,ml-100k/u.data,0,0,38,0.938078848,0.937598146,189,4107,4107,1,0.950539224
regular_distance,ml-100k/u.data,0,3,3781,0.996724085,0.998524308,189,4107,4107,1,0.93903022
diffusion_norm_distance,ml-100k/u.data,0,1,8864,0.996922261,0.99883739,189,4107,4107,1,0.939031951
diffusion_distance,ml-100k/u.data,1,173,8394,0.993190244,1.033151805,189,3992,3992,1,0.936172406
simple_mean,ml-100k/u.data,1,0,22,0.938801487,0.969804278,189,3992,3992,1,0.946268318
diffusion_norm_distance,ml-100k/u.data,1,1,8757,0.99328864,1.033289913,189,3992,3992,1,0.936491858
regular_distance,ml-100k/u.data,1,2,3867,0.993345994,1.033294154,189,3992,3992,1,0.936694844
diffusion_distance,ml-100k/u.data,2,221,9313,0.969705441,1.010391482,189,4125,4125,1,0.940098191
diffusion_norm_distance,ml-100k/u.data,2,1,8752,0.970409038,1.010846425,189,4125,4125,1,0.940380319
simple_mean,ml-100k/u.data,2,0,27,0.913160755,0.949094302,189,4125,4125,1,0.951114252
regular_distance,ml-100k/u.data,2,2,3836,0.970032,1.010552646,189,4125,4125,1,0.940398767
diffusion_distance,ml-100k/u.data,3,490,9426,0.979033101,0.981748557,188,3632,3632,1,0.943331367
diffusion_norm_distance,ml-100k/u.data,3,1,8642,0.978709815,0.981383382,188,3632,3632,1,0.942660199
simple_mean,ml-100k/u.data,3,0,19,0.919432866,0.916956561,188,3632,3632,1,0.954252878
regular_distance,ml-100k/u.data,3,2,3559,0.978676265,0.981061545,188,3632,3632,1,0.942716241
diffusion_distance,ml-100k/u.data,4,174,8598,0.97436113,1.011471665,188,4144,4144,1,0.936089263
simple_mean,ml-100k/u.data,4,0,20,0.923214862,0.953488036,188,4144,4144,1,0.945885759
regular_distance,ml-100k/u.data,4,2,3930,0.974469899,1.010991029,188,4144,4144,1,0.936196888
diffusion_norm_distance,ml-100k/u.data,4,1,8861,0.974801427,1.011469958,188,4144,4144,1,0.936224324
